title,ingredients,instructions,picture_link
Too Much Chocolate Cake,"[""1 (18.25 ounce) package devil's food cake mix ADVERTISEMENT"", '1 (5.9 ounce) package instant chocolate pudding mix ADVERTISEMENT', '1 cup sour cream ADVERTISEMENT', '1 cup vegetable oil ADVERTISEMENT', '4 eggs ADVERTISEMENT', '1/2 cup warm water ADVERTISEMENT', '2 cups semisweet chocolate chips ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, mix together the cake and pudding mixes, sour cream, oil, beaten eggs and water. Stir in the chocolate chips and pour batter into a well greased 12 cup bundt pan.
Bake for 50 to 55 minutes, or until top is springy to the touch and a wooden toothpick inserted comes out clean. Cool cake thoroughly in pan at least an hour and a half before inverting onto a plate If desired, dust the cake with powdered sugar.
",ZImPvP87oRq7hr1aBwlpw8IlaiK.n9a
Carrot Cake III,"['4 eggs ADVERTISEMENT', '1 1/4 cups vegetable oil ADVERTISEMENT', '2 cups white sugar ADVERTISEMENT', '2 teaspoons vanilla extract ADVERTISEMENT', '2 cups all-purpose flour ADVERTISEMENT', '2 teaspoons baking soda ADVERTISEMENT', '2 teaspoons baking powder ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '2 teaspoons ground cinnamon ADVERTISEMENT', '3 cups grated carrots ADVERTISEMENT', '1 cup chopped pecans ADVERTISEMENT', '1/2 cup butter, softened ADVERTISEMENT', '8 ounces cream cheese, softened ADVERTISEMENT', ""4 cups confectioners' sugar ADVERTISEMENT"", '1 teaspoon vanilla extract ADVERTISEMENT', '1 cup chopped pecans ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.
In a large bowl, beat together eggs, oil, white sugar and 2 teaspoons vanilla. Mix in flour, baking soda, baking powder, salt and cinnamon. Stir in carrots. Fold in pecans. Pour into prepared pan.
Bake in the preheated oven for 40 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely.
To Make Frosting: In a medium bowl, combine butter, cream cheese, confectioners' sugar and 1 teaspoon vanilla. Beat until the mixture is smooth and creamy. Stir in chopped pecans. Frost the cooled cake.
",2nNLWMwoKpnrTO1fxd7HgCSN3X4CFR2
Apple Crisp II,"['10 cups all-purpose apples, peeled, cored and sliced ADVERTISEMENT', '1 cup white sugar ADVERTISEMENT', '1 tablespoon all-purpose flour ADVERTISEMENT', '1 teaspoon ground cinnamon ADVERTISEMENT', '1/2 cup water ADVERTISEMENT', '1 cup quick-cooking oats ADVERTISEMENT', '1 cup all-purpose flour ADVERTISEMENT', '1 cup packed brown sugar ADVERTISEMENT', '1/4 teaspoon baking powder ADVERTISEMENT', '1/4 teaspoon baking soda ADVERTISEMENT', '1/2 cup butter, melted ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degree C).
Place the sliced apples in a 9x13 inch pan. Mix the white sugar, 1 tablespoon flour and ground cinnamon together, and sprinkle over apples. Pour water evenly over all.
Combine the oats, 1 cup flour, brown sugar, baking powder, baking soda and melted butter together. Crumble evenly over the apple mixture.
Bake at 350 degrees F (175 degrees C) for about 45 minutes.
",UV8Zg2x1U2W6tLPh8uxHGrThacsc7IO
Amish White Bread,"['2 cups warm water (110 degrees F/45 degrees C) ADVERTISEMENT', '2/3 cup white sugar ADVERTISEMENT', '1 1/2 tablespoons active dry yeast ADVERTISEMENT', '1 1/2 teaspoons salt ADVERTISEMENT', '1/4 cup vegetable oil ADVERTISEMENT', '6 cups bread flour ADVERTISEMENT', 'ADVERTISEMENT']","In a large bowl, dissolve the sugar in warm water, and then stir in yeast. Allow to proof until yeast resembles a creamy foam.
Mix salt and oil into the yeast. Mix in flour one cup at a time. Knead dough on a lightly floured surface until smooth. Place in a well oiled bowl, and turn dough to coat. Cover with a damp cloth. Allow to rise until doubled in bulk, about 1 hour.
Punch dough down. Knead for a few minutes, and divide in half. Shape into loaves, and place into two well oiled 9x5 inch loaf pans. Allow to rise for 30 minutes, or until dough has risen 1 inch above pans.
Bake at 350 degrees F (175 degrees C) for 30 minutes.
",WUk8K1RjsHZFFA/Bn/553rJOm2mHZri
Creamy Au Gratin Potatoes,"['4 russet potatoes, sliced into 1/4 inch slices ADVERTISEMENT', '1 onion, sliced into rings ADVERTISEMENT', 'salt and pepper to taste ADVERTISEMENT', '3 tablespoons butter ADVERTISEMENT', '3 tablespoons all-purpose flour ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '2 cups milk ADVERTISEMENT', '1 1/2 cups shredded Cheddar cheese ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 400 degrees F (200 degrees C). Butter a 1 quart casserole dish.
Layer 1/2 of the potatoes into bottom of the prepared casserole dish. Top with the onion slices, and add the remaining potatoes. Season with salt and pepper to taste.
In a medium-size saucepan, melt butter over medium heat. Mix in the flour and salt, and stir constantly with a whisk for one minute. Stir in milk. Cook until mixture has thickened. Stir in cheese all at once, and continue stirring until melted, about 30 to 60 seconds. Pour cheese over the potatoes, and cover the dish with aluminum foil.
Bake 1 1/2 hours in the preheated oven.
",xhrOmvSsCMqWvvQwEH8hwOzuXj7ucBK
Garlic Chicken,"['1/4 cup olive oil ADVERTISEMENT', '2 cloves garlic, crushed ADVERTISEMENT', '1/4 cup Italian-seasoned bread crumbs ADVERTISEMENT', '1/4 cup grated Parmesan cheese ADVERTISEMENT', '4 skinless, boneless chicken breast halves ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 425 degrees F (220 degrees C).
Heat olive oil and garlic in a small saucepan over low heat until warmed, 1 to 2 minutes. Transfer garlic and oil to a shallow bowl.
Combine bread crumbs and Parmesan cheese in a separate shallow bowl.
Dip chicken breasts in the olive oil-garlic mixture using tongs; transfer to bread crumb mixture and turn to evenly coat. Transfer coated chicken to a shallow baking dish.
Bake in the preheated oven until no longer pink and juices run clear, 30 to 35 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
",bsLEzIuVQDGXUm3OR6vgkFRmnzkOJze
Grilled Salmon I,"['1 1/2 pounds salmon fillets ADVERTISEMENT', 'lemon pepper to taste ADVERTISEMENT', 'garlic powder to taste ADVERTISEMENT', 'salt to taste ADVERTISEMENT', '1/3 cup soy sauce ADVERTISEMENT', '1/3 cup brown sugar ADVERTISEMENT', '1/3 cup water ADVERTISEMENT', '1/4 cup vegetable oil ADVERTISEMENT', 'ADVERTISEMENT']","Season salmon fillets with lemon pepper, garlic powder, and salt.
In a small bowl, stir together soy sauce, brown sugar, water, and vegetable oil until sugar is dissolved. Place fish in a large resealable plastic bag with the soy sauce mixture, seal, and turn to coat. Refrigerate for at least 2 hours.
Preheat grill for medium heat.
Lightly oil grill grate. Place salmon on the preheated grill, and discard marinade. Cook salmon for 6 to 8 minutes per side, or until the fish flakes easily with a fork.
",raJgq.0cvTie9bphQaZIB9ivIPsowgG
Buffalo Chicken Dip,"['2 (10 ounce) cans chunk chicken, drained ADVERTISEMENT', '2 (8 ounce) packages cream cheese, softened ADVERTISEMENT', '1 cup Ranch dressing ADVERTISEMENT', ""3/4 cup pepper sauce (such as Frank's Red Hot®) ADVERTISEMENT"", '1 1/2 cups shredded Cheddar cheese ADVERTISEMENT', '1 bunch celery, cleaned and cut into 4 inch pieces ADVERTISEMENT', '1 (8 ounce) box chicken-flavored crackers ADVERTISEMENT', 'ADVERTISEMENT']","Heat chicken and hot sauce in a skillet over medium heat, until heated through. Stir in cream cheese and ranch dressing. Cook, stirring until well blended and warm. Mix in half of the shredded cheese, and transfer the mixture to a slow cooker. Sprinkle the remaining cheese over the top, cover, and cook on Low setting until hot and bubbly. Serve with celery sticks and crackers.
",vMfAK2jKIjaMiKdXio/2ono33FQqyd.
Salsa Chicken,"['4 skinless, boneless chicken breast halves ADVERTISEMENT', '4 teaspoons taco seasoning mix ADVERTISEMENT', '1 cup salsa ADVERTISEMENT', '1 cup shredded Cheddar cheese ADVERTISEMENT', '2 tablespoons sour cream (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 375 degrees F (190 degrees C)
Place chicken breasts in a lightly greased 9x13 inch baking dish. Sprinkle taco seasoning on both sides of chicken breasts, and pour salsa over all.
Bake at 375 degrees F (190 degrees C) for 25 to 35 minutes, or until chicken is tender and juicy and its juices run clear.
Sprinkle chicken evenly with cheese, and continue baking for an additional 3 to 5 minutes, or until cheese is melted and bubbly. Top with sour cream if desired, and serve.
",Y3D9giEPmUhrgBpO5/XuLmbC7AQik/u
Quick and Easy Alfredo Sauce,"['1/2 cup butter ADVERTISEMENT', '1 (8 ounce) package cream cheese ADVERTISEMENT', '2 teaspoons garlic powder ADVERTISEMENT', '2 cups milk ADVERTISEMENT', '6 ounces grated Parmesan cheese ADVERTISEMENT', '1/8 teaspoon ground black pepper ADVERTISEMENT', 'ADVERTISEMENT']","Melt butter in a medium, non-stick saucepan over medium heat. Add cream cheese and garlic powder, stirring with wire whisk until smooth. Add milk, a little at a time, whisking to smooth out lumps. Stir in Parmesan and pepper. Remove from heat when sauce reaches desired consistency. Sauce will thicken rapidly, thin with milk if cooked too long. Toss with hot pasta to serve.
",eKr7rXbQBEWjqiLUBrtbGSRrSQpNw.C
Chewy Chocolate Chip Oatmeal Cookies,"['1 cup butter, softened ADVERTISEMENT', '1 cup packed light brown sugar ADVERTISEMENT', '1/2 cup white sugar ADVERTISEMENT', '2 eggs ADVERTISEMENT', '2 teaspoons vanilla extract ADVERTISEMENT', '1 1/4 cups all-purpose flour ADVERTISEMENT', '1/2 teaspoon baking soda ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', '3 cups quick-cooking oats ADVERTISEMENT', '1 cup chopped walnuts ADVERTISEMENT', '1 cup semisweet chocolate chips ADVERTISEMENT', 'ADVERTISEMENT']","Preheat the oven to 325 degrees F (165 degrees C).
In a large bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in eggs one at a time, then stir in vanilla. Combine the flour, baking soda, and salt; stir into the creamed mixture until just blended. Mix in the quick oats, walnuts, and chocolate chips. Drop by heaping spoonfuls onto ungreased baking sheets.
Bake for 12 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely.
",tahsvWFPEa2SbWFKup8YoPbibyBDLDO
Chicken Marsala,"['1/4 cup all-purpose flour for coating ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1/4 teaspoon ground black pepper ADVERTISEMENT', '1/2 teaspoon dried oregano ADVERTISEMENT', '4 skinless, boneless chicken breast halves - pounded 1/4 inch thick ADVERTISEMENT', '4 tablespoons butter ADVERTISEMENT', '4 tablespoons olive oil ADVERTISEMENT', '1 cup sliced mushrooms ADVERTISEMENT', '1/2 cup Marsala wine ADVERTISEMENT', '1/4 cup cooking sherry ADVERTISEMENT', 'ADVERTISEMENT']","In a shallow dish or bowl, mix together the flour, salt, pepper and oregano. Coat chicken pieces in flour mixture.
In a large skillet, melt butter in oil over medium heat. Place chicken in the pan, and lightly brown. Turn over chicken pieces, and add mushrooms. Pour in wine and sherry. Cover skillet; simmer chicken 10 minutes, turning once, until no longer pink and juices run clear.
",YNTAd5fiT/EmJDbtOn5YZYTMaf6GiCq
Slow-Cooker Chicken Tortilla Soup,"['1 pound shredded, cooked chicken ADVERTISEMENT', '1 (15 ounce) can whole peeled tomatoes, mashed ADVERTISEMENT', '1 (10 ounce) can enchilada sauce ADVERTISEMENT', '1 medium onion, chopped ADVERTISEMENT', '1 (4 ounce) can chopped green chile peppers ADVERTISEMENT', '2 cloves garlic, minced ADVERTISEMENT', '2 cups water ADVERTISEMENT', '1 (14.5 ounce) can chicken broth ADVERTISEMENT', '1 teaspoon cumin ADVERTISEMENT', '1 teaspoon chili powder ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', '1/4 teaspoon black pepper ADVERTISEMENT', '1 bay leaf ADVERTISEMENT', '1 (10 ounce) package frozen corn ADVERTISEMENT', '1 tablespoon chopped cilantro ADVERTISEMENT', '7 corn tortillas ADVERTISEMENT', 'vegetable oil ADVERTISEMENT', 'ADVERTISEMENT']","Place chicken, tomatoes, enchilada sauce, onion, green chiles, and garlic into a slow cooker. Pour in water and chicken broth, and season with cumin, chili powder, salt, pepper, and bay leaf. Stir in corn and cilantro. Cover, and cook on Low setting for 6 to 8 hours or on High setting for 3 to 4 hours.
Preheat oven to 400 degrees F (200 degrees C).
Lightly brush both sides of tortillas with oil. Cut tortillas into strips, then spread on a baking sheet.
Bake in preheated oven until crisp, about 10 to 15 minutes. To serve, sprinkle tortilla strips over soup.
",v3gjCAhwtUvljQqEYBFdEBjl8uyVpHu
Creamy Rice Pudding,"['3/4 cup uncooked white rice ADVERTISEMENT', '2 cups milk, divided ADVERTISEMENT', '1/3 cup white sugar ADVERTISEMENT', '1/4 teaspoon salt ADVERTISEMENT', '1 egg, beaten ADVERTISEMENT', '2/3 cup golden raisins ADVERTISEMENT', '1 tablespoon butter ADVERTISEMENT', '1/2 teaspoon vanilla extract ADVERTISEMENT', 'ADVERTISEMENT']","Bring 1 1/2 cups water to a boil in a saucepan; stir rice into boiling water. Reduce heat to low, cover, and simmer for 20 minutes.
In a clean saucepan, combine 1 1/2 cups cooked rice, 1 1/2 cups milk, sugar and salt. Cook over medium heat until thick and creamy, 15 to 20 minutes. Stir in remaining 1/2 cup milk, beaten egg, and raisins; cook 2 minutes more, stirring constantly. Remove from heat and stir in butter and vanilla.
",gwNMN.vTQrpfaNCCi7g0HH40VSMNCXC
Banana Sour Cream Bread,"['1/4 cup white sugar ADVERTISEMENT', '1 teaspoon ground cinnamon ADVERTISEMENT', '3/4 cup butter ADVERTISEMENT', '3 cups white sugar ADVERTISEMENT', '3 eggs ADVERTISEMENT', '6 very ripe bananas, mashed ADVERTISEMENT', '1 (16 ounce) container sour cream ADVERTISEMENT', '2 teaspoons vanilla extract ADVERTISEMENT', '2 teaspoons ground cinnamon ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '3 teaspoons baking soda ADVERTISEMENT', '4 1/2 cups all-purpose flour ADVERTISEMENT', '1 cup chopped walnuts (optional) ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 300 degrees F (150 degrees C). Grease four 7x3 inch loaf pans. In a small bowl, stir together 1/4 cup white sugar and 1 teaspoon cinnamon. Dust pans lightly with cinnamon and sugar mixture.
In a large bowl, cream butter and 3 cups sugar. Mix in eggs, mashed bananas, sour cream, vanilla and cinnamon. Mix in salt, baking soda and flour. Stir in nuts. Divide into prepared pans.
Bake for 1 hour, until a toothpick inserted in center comes out clean.
",//ZwLJkf1Do6xJuEY6o3/weaivu.N8e
Quinoa and Black Beans,"['1 teaspoon vegetable oil ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '3 cloves garlic, chopped ADVERTISEMENT', '3/4 cup quinoa ADVERTISEMENT', '1 1/2 cups vegetable broth ADVERTISEMENT', '1 teaspoon ground cumin ADVERTISEMENT', '1/4 teaspoon cayenne pepper ADVERTISEMENT', 'salt and ground black pepper to taste ADVERTISEMENT', '1 cup frozen corn kernels ADVERTISEMENT', '2 (15 ounce) cans black beans, rinsed and drained ADVERTISEMENT', '1/2 cup chopped fresh cilantro ADVERTISEMENT', 'ADVERTISEMENT']","Heat oil in a saucepan over medium heat; cook and stir onion and garlic until lightly browned, about 10 minutes.
Mix quinoa into onion mixture and cover with vegetable broth; season with cumin, cayenne pepper, salt, and pepper. Bring the mixture to a boil. Cover, reduce heat, and simmer until quinoa is tender and broth is absorbed, about 20 minutes.
Stir frozen corn into the saucepan, and continue to simmer until heated through, about 5 minutes; mix in the black beans and cilantro.
",jcY0J6plpxOQFu0w8FP1mRHyn/5Tu.G
Easy Meatloaf,"['1 1/2 pounds ground beef ADVERTISEMENT', '1 egg ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '1 cup milk ADVERTISEMENT', '1 cup dried bread crumbs ADVERTISEMENT', 'salt and pepper to taste ADVERTISEMENT', '2 tablespoons brown sugar ADVERTISEMENT', '2 tablespoons prepared mustard ADVERTISEMENT', '1/3 cup ketchup ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, combine the beef, egg, onion, milk and bread OR cracker crumbs. Season with salt and pepper to taste and place in a lightly greased 5x9 inch loaf pan, OR form into a loaf and place in a lightly greased 9x13 inch baking dish.
In a separate small bowl, combine the brown sugar, mustard and ketchup. Mix well and pour over the meatloaf.
Bake at 350 degrees F (175 degrees C) for 1 hour.
",/.0laQDNS6i0Byynhw02FAbkEwsdu5y
Annie's Fruit Salsa and Cinnamon Chips,"['2 kiwis, peeled and diced ADVERTISEMENT', '2 Golden Delicious apples - peeled, cored and diced ADVERTISEMENT', '8 ounces raspberries ADVERTISEMENT', '1 pound strawberries ADVERTISEMENT', '2 tablespoons white sugar ADVERTISEMENT', '1 tablespoon brown sugar ADVERTISEMENT', '3 tablespoons fruit preserves, any flavor ADVERTISEMENT', '10 (10 inch) flour tortillas ADVERTISEMENT', 'butter flavored cooking spray ADVERTISEMENT', '2 tablespoons cinnamon sugar ADVERTISEMENT', 'ADVERTISEMENT']","In a large bowl, thoroughly mix kiwis, Golden Delicious apples, raspberries, strawberries, white sugar, brown sugar and fruit preserves. Cover and chill in the refrigerator at least 15 minutes.
Preheat oven to 350 degrees F (175 degrees C).
Coat one side of each flour tortilla with butter flavored cooking spray. Cut into wedges and arrange in a single layer on a large baking sheet. Sprinkle wedges with desired amount of cinnamon sugar. Spray again with cooking spray.
Bake in the preheated oven 8 to 10 minutes. Repeat with any remaining tortilla wedges. Allow to cool approximately 15 minutes. Serve with chilled fruit mixture.
",zuzSEBkYmCeKRABLU.urgxcMXshcupG
Chicken Enchiladas II,"['1 tablespoon butter ADVERTISEMENT', '1/2 cup chopped green onions ADVERTISEMENT', '1/2 teaspoon garlic powder ADVERTISEMENT', '1 (4 ounce) can diced green chiles ADVERTISEMENT', '1 (10.75 ounce) can condensed cream of mushroom soup ADVERTISEMENT', '1/2 cup sour cream ADVERTISEMENT', '1 1/2 cups cubed cooked chicken breast meat ADVERTISEMENT', '1 cup shredded Cheddar cheese, divided ADVERTISEMENT', '6 (12 inch) flour tortillas ADVERTISEMENT', '1/4 cup milk ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a large baking dish.
In a medium saucepan over medium heat, melt the butter and saute the green onion until tender (about 3 to 4 minutes). Add the garlic powder, then stir in the green chiles, cream of mushroom soup and sour cream. Mix well. Reserve 3/4 of this sauce and set aside. To the remaining 1/4 of the sauce in the saucepan, add the chicken and 1/2 cup of shredded Cheddar cheese. Stir together.
Fill each flour tortilla with the chicken mixture and roll up. Place seam side down in the prepared baking dish.
In a small bowl combine the reserved 3/4 of the sauce with the milk. Spoon this mixture over the rolled tortillas and top with the remaining 1/2 cup of shredded Cheddar cheese. Bake in the preheated oven for 30 to 35 minutes, or until cheese is bubbly.
",QZn0OSQf5tfFkghUV5Non2TJEI.fFcm
Slow Cooker Pulled Pork,"['1 (2 pound) pork tenderloin ADVERTISEMENT', '1 (12 fluid ounce) can or bottle root beer ADVERTISEMENT', '1 (18 ounce) bottle your favorite barbecue sauce ADVERTISEMENT', '8 hamburger buns, split and lightly toasted ADVERTISEMENT', 'ADVERTISEMENT']","Place the pork tenderloin in a slow cooker; pour the root beer over the meat. Cover and cook on low until well cooked and the pork shreds easily, 6 to 7 hours. Note: the actual length of time may vary according to individual slow cooker. Drain well. Stir in barbecue sauce. Serve over hamburger buns.
",qMCTkIFtbo.5ajS5Vz5sSsNcBwby3w.
Cream Cheese Frosting II,"['2 (8 ounce) packages cream cheese, softened ADVERTISEMENT', '1/2 cup butter, softened ADVERTISEMENT', ""2 cups sifted confectioners' sugar ADVERTISEMENT"", '1 teaspoon vanilla extract ADVERTISEMENT', 'ADVERTISEMENT']","In a medium bowl, cream together the cream cheese and butter until creamy. Mix in the vanilla, then gradually stir in the confectioners' sugar. Store in the refrigerator after use.
",GEsRB72AqAHLyaZxoJv.DsxFyg5P7oK
Beth's Spicy Oatmeal Raisin Cookies,"['1/2 cup butter, softened ADVERTISEMENT', '1/2 cup butter flavored shortening ADVERTISEMENT', '1 cup packed light brown sugar ADVERTISEMENT', '1/2 cup white sugar ADVERTISEMENT', '2 eggs ADVERTISEMENT', '1 teaspoon vanilla extract ADVERTISEMENT', '1 1/2 cups all-purpose flour ADVERTISEMENT', '1 teaspoon baking soda ADVERTISEMENT', '1 teaspoon ground cinnamon ADVERTISEMENT', '1/2 teaspoon ground cloves ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '3 cups rolled oats ADVERTISEMENT', '1 cup raisins ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C).
In a large bowl, cream together the butter, butter flavored shortening, brown sugar, white sugar, eggs, and vanilla until smooth. Combine the flour, baking soda, cinnamon, cloves, and salt; stir into the sugar mixture. Stir in the oats and raisins. Drop by rounded teaspoonfuls onto ungreased cookie sheets.
Bake 10 to 12 minutes until light and golden. Do not overbake. Let them cool for 2 minutes before removing from cookie sheets to cool completely. Store in airtight container. Make sure you get some, because they don't last long!
",XIN5KCgMmKK06znwjA.pEI/OlJ1F6KG
Maple Salmon,"['1/4 cup maple syrup ADVERTISEMENT', '2 tablespoons soy sauce ADVERTISEMENT', '1 clove garlic, minced ADVERTISEMENT', '1/4 teaspoon garlic salt ADVERTISEMENT', '1/8 teaspoon ground black pepper ADVERTISEMENT', '1 pound salmon ADVERTISEMENT', 'ADVERTISEMENT']","In a small bowl, mix the maple syrup, soy sauce, garlic, garlic salt, and pepper.
Place salmon in a shallow glass baking dish, and coat with the maple syrup mixture. Cover the dish, and marinate salmon in the refrigerator 30 minutes, turning once.
Preheat oven to 400 degrees F (200 degrees C).
Place the baking dish in the preheated oven, and bake salmon uncovered 20 minutes, or until easily flaked with a fork.
",mKifIaQdD2Ol5.srDFzKh9BLCTxBdXy
Slow Cooker Beef Stew I,"['2 pounds beef stew meat, cut into 1 inch cubes ADVERTISEMENT', '1/4 cup all-purpose flour ADVERTISEMENT', '1/2 teaspoon salt ADVERTISEMENT', '1/2 teaspoon ground black pepper ADVERTISEMENT', '1 clove garlic, minced ADVERTISEMENT', '1 bay leaf ADVERTISEMENT', '1 teaspoon paprika ADVERTISEMENT', '1 teaspoon Worcestershire sauce ADVERTISEMENT', '1 onion, chopped ADVERTISEMENT', '1 1/2 cups beef broth ADVERTISEMENT', '3 potatoes, diced ADVERTISEMENT', '4 carrots, sliced ADVERTISEMENT', '1 stalk celery, chopped ADVERTISEMENT', 'ADVERTISEMENT']","Place meat in slow cooker. In a small bowl mix together the flour, salt, and pepper; pour over meat, and stir to coat meat with flour mixture. Stir in the garlic, bay leaf, paprika, Worcestershire sauce, onion, beef broth, potatoes, carrots, and celery.
Cover, and cook on Low setting for 10 to 12 hours, or on High setting for 4 to 6 hours.
",cZ2eD4PtwykOtm36PkMaNT/9.T7gdK2
Brooke's Best Bombshell Brownies,"['1 cup butter, melted ADVERTISEMENT', '3 cups white sugar ADVERTISEMENT', '1 tablespoon vanilla extract ADVERTISEMENT', '4 eggs ADVERTISEMENT', '1 1/2 cups all-purpose flour ADVERTISEMENT', '1 cup unsweetened cocoa powder ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', '1 cup semisweet chocolate chips ADVERTISEMENT', 'ADVERTISEMENT']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 baking dish.
Combine the melted butter, sugar, and vanilla in a large bowl. Beat in the eggs, one at a time, mixing well after each, until thoroughly blended.
Sift the flour, cocoa powder, and salt in a bowl. Gradually stir flour mixture into the egg mixture until blended. Stir in the chocolate morsels. Spread the batter evenly into the prepared baking dish.
Bake in preheated oven until an inserted toothpick comes out clean, 35 to 40 minutes. Remove, and cool pan on wire rack before cutting.
",OYtDo1LyYjZjCw97cooBCXR5af83HCW
Fluffy French Toast,"['1/4 cup all-purpose flour ADVERTISEMENT', '1 cup milk ADVERTISEMENT', '1 pinch salt ADVERTISEMENT', '3 eggs ADVERTISEMENT', '1/2 teaspoon ground cinnamon ADVERTISEMENT', '1 teaspoon vanilla extract ADVERTISEMENT', '1 tablespoon white sugar ADVERTISEMENT', '12 thick slices bread ADVERTISEMENT', 'ADVERTISEMENT']","Measure flour into a large mixing bowl. Slowly whisk in the milk. Whisk in the salt, eggs, cinnamon, vanilla extract and sugar until smooth.
Heat a lightly oiled griddle or frying pan over medium heat.
Soak bread slices in mixture until saturated. Cook bread on each side until golden brown. Serve hot.
",IHpXGCbuPKEuJMbJ8A0JkeUe67zwHi2
Slow Cooker Beef Stroganoff I,"['1 pound cubed beef stew meat ADVERTISEMENT', '1 (10.75 ounce) can condensed golden mushroom soup ADVERTISEMENT', '1/2 cup chopped onion ADVERTISEMENT', '1 tablespoon Worcestershire sauce ADVERTISEMENT', '1/4 cup water ADVERTISEMENT', '4 ounces cream cheese ADVERTISEMENT', 'ADVERTISEMENT']","In a slow cooker, combine the meat, soup, onion, Worcestershire sauce and water.
Cook on Low setting for 8 hours, or on High setting for about 5 hours. Stir in cream cheese just before serving.
",eHP02wba57pSXJjIN2rtv0F.IAs.uke
Soft Oatmeal Cookies,"['1 cup butter, softened ADVERTISEMENT', '1 cup white sugar ADVERTISEMENT', '1 cup packed brown sugar ADVERTISEMENT', '2 eggs ADVERTISEMENT', '1 teaspoon vanilla extract ADVERTISEMENT', '2 cups all-purpose flour ADVERTISEMENT', '1 teaspoon baking soda ADVERTISEMENT', '1 teaspoon salt ADVERTISEMENT', '1 1/2 teaspoons ground cinnamon ADVERTISEMENT', '3 cups quick cooking oats ADVERTISEMENT', 'ADVERTISEMENT']","In a medium bowl, cream together butter, white sugar, and brown sugar. Beat in eggs one at a time, then stir in vanilla. Combine flour, baking soda, salt, and cinnamon; stir into the creamed mixture. Mix in oats. Cover, and chill dough for at least one hour.
Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets. Roll the dough into walnut sized balls, and place 2 inches apart on cookie sheets. Flatten each cookie with a large fork dipped in sugar.
Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely.
",ZiXgY/MRO3IpPBUCEivFfYz7LvBNbkq
Roast Sticky Chicken-Rotisserie Style,"['4 teaspoons salt ADVERTISEMENT', '2 teaspoons paprika ADVERTISEMENT', '1 teaspoon onion powder ADVERTISEMENT', '1 teaspoon dried thyme ADVERTISEMENT', '1 teaspoon white pepper ADVERTISEMENT', '1/2 teaspoon cayenne pepper ADVERTISEMENT', '1/2 teaspoon black pepper ADVERTISEMENT', '1/2 teaspoon garlic powder ADVERTISEMENT', '2 onions, quartered ADVERTISEMENT', '2 (4 pound) whole chickens ADVERTISEMENT', 'ADVERTISEMENT']","In a small bowl, mix together salt, paprika, onion powder, thyme, white pepper, black pepper, cayenne pepper, and garlic powder. Remove and discard giblets from chicken. Rinse chicken cavity, and pat dry with paper towel. Rub each chicken inside and out with spice mixture. Place 1 onion into the cavity of each chicken. Place chickens in a resealable bag or double wrap with plastic wrap. Refrigerate overnight, or at least 4 to 6 hours.
Preheat oven to 250 degrees F (120 degrees C).
Place chickens in a roasting pan. Bake uncovered for 5 hours, to a minimum internal temperature of 180 degrees F (85 degrees C). Let the chickens stand for 10 minutes before carving.
",k5zMeyS8bx3sciXV.AjAk3VBrR5Ze1K
